id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno00040,Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism,1,84,35,9012,0.279913817,0.515540714,3.065306122,Fggy,rno00040
rno00220,Arginine biosynthesis,Metabolism,Amino acid metabolism,1,84,19,9012,0.1631467,0.441058219,5.646616541,Nos2,rno00220
rno00230,Purine metabolism,Metabolism,Nucleotide metabolism,1,84,131,9012,0.709380877,0.754226002,0.818974918,Ak4,rno00230
rno00270,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism,1,84,51,9012,0.380555141,0.567775261,2.103641457,Bcat1,rno00270
rno00280,"Valine, leucine and isoleucine degradation",Metabolism,Amino acid metabolism,3,84,56,9012,0.015186066,0.141956702,5.74744898,Mcee;Hmgcs2;Bcat1,rno00280
rno00330,Arginine and proline metabolism,Metabolism,Amino acid metabolism,1,84,52,9012,0.386361789,0.568957429,2.063186813,Nos2,rno00330
rno00480,Glutathione metabolism,Metabolism,Metabolism of other amino acids,2,84,72,9012,0.144822774,0.42736523,2.98015873,Gstm3;Gstm2,rno00480
rno00561,Glycerolipid metabolism,Metabolism,Lipid metabolism,3,84,64,9012,0.021648245,0.174193327,5.029017857,Plpp3;Dgkg;Dgat2,rno00561
rno00562,Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism,1,84,73,9012,0.496602702,0.62853946,1.469667319,Mtmr7,rno00562
rno00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism,Glycan biosynthesis and metabolism,1,84,26,9012,0.216371315,0.483935135,4.126373626,Pigp,rno00563
rno00564,Glycerophospholipid metabolism,Metabolism,Lipid metabolism,3,84,98,9012,0.063235996,0.271914782,3.28425656,Plpp3;Phospho1;Dgkg,rno00564
rno00565,Ether lipid metabolism,Metabolism,Lipid metabolism,1,84,47,9012,0.356780654,0.559911246,2.282674772,Plpp3,rno00565
