"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04820","Cytoskeleton in muscle cells",144,0.456141182301924,2.84085717489538,1e-10,1.585e-08,1.02105263157895e-08,1422,"tags=49%, list=18%, signal=41%","ACTB/MYL9/TPM2/VIM/TPM1/MYH11/PDLIM7/ITGB1/FHL1/CSRP1/SYNPO2/MYH10/LMOD1/BGN/ACTG2/COL6A2/TLN1/TPM4/ITGA8/CSRP2/VCL/DAAM1/ENO1/SGCA/MYH9/SDC2/ITGA5/COL6A1/FN1/COL4A2/TMEM43/ELN/LBR/COL4A4/ITGA1/SYNE1/ITGA7/COL4A1/ACTA1/ITGA10/SYNE2/AMPD2/SGCD/ACTN2/ITGAV/DMD/DES/SYNE3/VCAN/FHL3/FLNC/LDB3/ATP1A1/MYOZ2/ANK3/ITGB8/COL9A3/ITGB4/COL1A2/SDC4/ACTC1/TLN2/ITGA3/COL5A2/DIAPH2/FHL2/THBS2/ITGB5/ATP1A2/PLEC"
"hsa04510","Focal adhesion",134,0.428917951298565,2.60938900127195,1e-10,1.585e-08,1.02105263157895e-08,1442,"tags=46%, list=18%, signal=38%","ACTB/MYL9/ITGB1/FLNA/ACTN1/PPP1R12B/MYLK/CAV1/MYL12A/COL6A2/TLN1/ITGA8/PPP1CB/VCL/ROCK1/ITGA5/COL6A1/FN1/COL4A2/EMP2/PDGFRB/PDGFRA/CTNNB1/COL4A4/PTK2/ITGA1/CAPN2/ITGA7/COL4A1/RAC2/BCAR1/PDGFD/ARHGAP5/ITGA10/GRB2/CCND2/ITGAV/JUN/PIK3R1/ROCK2/DOCK1/LAMB1/ITGB8/FLNB/PDGFA/COL9A3/ITGB4/RAF1/LAMB2/CCND1/COL1A2/LAMA5/TLN2/ERBB2/ITGA3/IGF1R/THBS2/AKT2/ITGB5/SOS1/RAP1B/CCND3"
"hsa04810","Regulation of actin cytoskeleton",118,0.424453916008172,2.53495331285458,7.67514703017804e-10,8.11007202855479e-08,5.22448604861242e-08,1364,"tags=46%, list=17%, signal=38%","RGCC/ACTB/MYL9/MYH11/ITGB1/ACTN1/PPP1R12B/MYLK/MYH10/MYL12A/CFL2/ITGA8/PPP1CB/VCL/ROCK1/MSN/MYH9/ITGA5/ENAH/RRAS/IQGAP1/FN1/CYFIP2/PDGFRB/PDGFRA/PTK2/ITGA1/ITGA7/GSN/RAC2/BCAR1/PDGFD/ITGA10/ITGAV/RDX/PIK3R1/ROCK2/DOCK1/FGF1/ITGB2/ITGB8/PDGFA/ITGB4/RAF1/CXCL12/RRAS2/ITGA3/DIAPH2/ARPC5L/FGF7/AKT2/ITGB5/SOS1/MRAS"
"hsa05132","Salmonella infection",118,0.420143325510635,2.50920930331673,1.28703258875907e-09,1.01997332659156e-07,6.57064005840158e-08,2403,"tags=56%, list=30%, signal=39%","ACTB/MYL9/FLNA/RHOB/GAPDH/MYL12A/HSP90AA1/TUBA1B/TUBA1A/HSP90B1/TUBB/TUBB6/ANXA2/RRAS/TUBB4B/MAP2K6/CYFIP2/CYCS/CTNNB1/AHNAK/DYNC1LI2/TNFRSF1A/FOS/SNX9/JUN/TCF7L2/MAP2K3/TUBB2A/TUBA4A/ROCK2/RAF1/DYNC1LI1/SNX33/RAB9B/CASP3/TUBA1C/S100A10/GSDMD/ARPC5L/AKT2/ARHGEF26/M6PR/DYNC1H1/STX10/MYO6/NFKBIA/IL1B/VPS41/LY96/DCTN1/TRAF6/FYCO1/PIK3C2A/PIK3C3/EXOC5/TCF7L1/VPS39/PIK3CA/TUBB2B/DCTN4/HRAS/GCC2/MAPK14/MAPK9/PTPRC/MAP2K2"
"hsa04141","Protein processing in endoplasmic reticulum",69,0.505552242319429,2.70730670026727,2.72652334984196e-09,1.7286158037998e-07,1.11356953656703e-07,1949,"tags=59%, list=25%, signal=45%","HSP90AA1/CRYAB/HSP90B1/BAG2/HSPA8/HSPA5/PDIA3/SSR4/CAPN2/CALR/UFD1/WFS1/RPN2/PDIA6/P4HB/PPP1R15A/MAN1A1/HSPH1/DNAJC3/HSPA1A/SEL1L/ATXN3/SYVN1/HERPUD1/CAPN1/DNAJB1/DNAJC10/CKAP4/HSPA4L/DNAJB11/DNAJA2/UBE2G1/ATF6/NGLY1/UGGT2/LMAN1/RRBP1/SEC24C/MAGT1/SELENOS/PDIA4"
"hsa04518","Integrin signaling",106,0.43033932682887,2.53263989016173,5.07058319981545e-09,2.6789581239025e-07,1.72577743993719e-07,1360,"tags=45%, list=17%, signal=38%","ACTB/ITGB1/FLNA/ACTN1/COL6A2/TLN1/ITGA8/VCL/ITGA5/COL6A1/FN1/LIMS1/COL4A2/PDGFRB/PDGFRA/CTNNB1/COL4A4/PTK2/ITGA1/LIMS2/ITGA7/COL4A1/RAC2/PDGFD/ITGA10/CCND2/ITGAV/NCK2/PIK3R1/ITGB2/NPNT/LAMB1/ITGB8/FLNB/PDGFA/COL9A3/ITGB4/LAMB2/CCND1/COL1A2/LAMA5/TLN2/ERBB2/ITGA3/IGF1R/THBS2/AKT2/ITGB5"
"hsa05205","Proteoglycans in cancer",112,0.394987799227845,2.34061313637494,7.23434803119693e-08,3.27612617984204e-06,2.1104714557176e-06,1364,"tags=41%, list=17%, signal=34%","ACTB/ITGB1/FLNA/PPP1R12B/CAV1/PPP1CB/GPC3/ROCK1/MSN/SDC2/ITGA5/RRAS/IQGAP1/FN1/CTNNB1/PTK2/EIF4B/CDKN1A/CTTN/FZD3/GRB2/ITGAV/HIF1A/RDX/PTPN11/PIK3R1/ROCK2/NUDT16L1/ANK3/STAT3/RAF1/TIMP3/CCND1/RPS6KB2/ITPR1/RRAS2/COL1A2/SDC4/ERBB2/CASP3/TGFB2/IGF1R/AKT2/ITGB5/SOS1/MRAS"
"hsa05165","Human papillomavirus infection",174,0.338431376777562,2.19046310097554,1.11215245987888e-07,4.40690412227006e-06,2.83891548969083e-06,2830,"tags=57%, list=36%, signal=37%","ITGB1/COL6A2/ITGA8/ATP6V0C/HES4/PKM/HLA-A/ITGA5/CREB5/COL6A1/FN1/COL4A2/PDGFRB/HLA-C/CTNNB1/COL4A4/PTK2/ITGA1/ITGA7/CDKN1A/COL4A1/TNFRSF1A/JAG1/ITGA10/FZD3/HEY2/NOTCH3/GRB2/CCND2/ITGAV/MAML2/TCF7L2/PIK3R1/CREB3L2/LAMB1/ITGB8/COL9A3/ITGB4/RAF1/CDKN1B/PRKCI/LAMB2/CCND1/RPS6KB2/CHD4/HEYL/COL1A2/LAMA5/ITGA3/CASP3/RBL2/THBS2/AKT2/ITGB5/SOS1/IRF3/ATP6V0A1/HLA-B/CCND3/FAS/DVL3/TUBG1/UBR4/SPP1/ATP6V1B2/HLA-E/PPP2R3A/ISG15/TBPL1/MAGI1/EIF2AK2/COL4A5/HES1/DLG3/LAMC3/PTEN/TCF7L1/COL1A1/RB1/PIK3CA/PRKACB/TNC/HRAS/MAP2K2/COL9A2/MAML1/PIK3R3/PPP2R2D/STAT1/NOTCH1/PPP2R2B/BAK1/IFNAR2/LAMA4/CDK2/FZD1/NOTCH4/IRF1/APC"
"hsa04080","Neuroactive ligand-receptor interaction",112,-0.40645559169783,-2.32642515288068,1.30745317944285e-07,4.60514064314871e-06,2.96661891008085e-06,1297,"tags=55%, list=16%, signal=47%","TMEM97/NTS/AGTR1/ADORA2B/P2RY10/POMC/CYSLTR2/LPAR2/ADORA3/HTR2A/CTSG/TAC1/LPAR1/PTGDR/ADRB1/APLN/CHRNA5/CALCA/GRIK1/PTAFR/MC1R/GRIA3/GAL/GABRA4/RLN1/DRD1/GNRH1/OXTR/P2RX5/RXFP2/VIP/UCN/OPRL1/GABRA2/GNRH2/SCTR/LPAR3/SPX/P2RY8/GABRD/SCT/HTR1F/HTR2B/MAS1/NPY5R/BDKRB1/CHRM2/P2RX2/AVPR2/GRID1/PENK/GRIN2B/NMUR1/TACR1/GABRB3/ADM2/PRLR/OXT/CHRNE/F2RL2/SSTR1/PNOC"
"hsa05012","Parkinson disease",69,0.458143295253213,2.45342480775282,2.50431112341432e-07,7.93866626122339e-06,5.11406692570924e-06,2705,"tags=72%, list=34%, signal=48%","DUSP1/TUBA1B/TUBA1A/TUBB/ATP5F1E/TUBB6/ATP5PF/TUBB4B/HSPA5/CYCS/ATP5F1B/ATP5PO/ATP5MC3/SEM1/ATP5MC2/ATP5F1D/PSMC4/TUBB2A/TUBA4A/ATP5F1A/PSMD12/ITPR1/ATP5PB/MAOB/PSMA5/MAOA/ATP5PD/ATP5MC1/CASP3/UBE2G1/TUBA1C/SLC39A13/SLC25A5/TRAP1/ATF6/BCL2L1/NDUFA4L2/MFN1/PRKACB/TUBB2B/MAPK9/ATP5F1C/DAXX/GNAL/ITPR2/SLC39A9/COX4I2/UCHL1/SLC39A7/MAP3K5"
