id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism,1,82,36,9012,0.280865027,0.721007073,3.052845528,Pfkfb1,rno00051
rno00190,Oxidative phosphorylation,Metabolism,Energy metabolism,2,82,137,9012,0.355186437,0.721007073,1.604415168,Ndufa10l1;Cox7a1,rno00190
rno00260,"Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism,1,82,39,9012,0.300396595,0.721007073,2.818011257,Alas2,rno00260
rno00310,Lysine degradation,Metabolism,Amino acid metabolism,1,82,63,9012,0.43890149,0.745373323,1.744483159,Kmt5c,rno00310
rno00330,Arginine and proline metabolism,Metabolism,Amino acid metabolism,1,82,52,9012,0.379151957,0.745373323,2.113508443,Ckmt1,rno00330
rno00480,Glutathione metabolism,Metabolism,Metabolism of other amino acids,1,82,72,9012,0.483532792,0.745373323,1.526422764,Gstt3,rno00480
rno00564,Glycerophospholipid metabolism,Metabolism,Lipid metabolism,2,82,98,9012,0.224057548,0.698535951,2.242906919,Pld3;Lcat,rno00564
rno00565,Ether lipid metabolism,Metabolism,Lipid metabolism,1,82,47,9012,0.349955708,0.721007073,2.338349766,Pld3,rno00565
rno00590,Arachidonic acid metabolism,Metabolism,Lipid metabolism,1,82,81,9012,0.524653865,0.745373323,1.356820235,Ptgs2,rno00590
rno00600,Sphingolipid metabolism,Metabolism,Lipid metabolism,1,82,56,9012,0.401573036,0.745373323,1.962543554,RGD1564463,rno00600
rno00860,Porphyrin metabolism,Metabolism,Metabolism of cofactors and vitamins,1,82,43,9012,0.325625709,0.721007073,2.555870675,Alas2,rno00860
rno00980,Metabolism of xenobiotics by cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism,1,82,76,9012,0.502225457,0.745373323,1.446084724,Gstt3,rno00980
rno00982,Drug metabolism - cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism,1,82,73,9012,0.488269963,0.745373323,1.505512863,Gstt3,rno00982
rno00983,Drug metabolism - other enzymes,Metabolism,Xenobiotics biodegradation and metabolism,1,82,95,9012,0.582278912,0.745373323,1.156867779,Gstt3,rno00983
rno01521,EGFR tyrosine kinase inhibitor resistance,Human Diseases,Drug resistance: antineoplastic,2,82,80,9012,0.164678056,0.690844528,2.747560976,Nrg1;Prkcg,rno01521
rno01522,Endocrine resistance,Human Diseases,Drug resistance: antineoplastic,1,82,94,9012,0.57840237,0.745373323,1.169174883,Mmp2,rno01522
rno01524,Platinum drug resistance,Human Diseases,Drug resistance: antineoplastic,1,82,82,9012,0.529018257,0.745373323,1.340273647,Gstt3,rno01524
rno02010,ABC transporters,Environmental Information Processing,Membrane transport,1,82,55,9012,0.396043908,0.745373323,1.998226164,Abcb4,rno02010
rno03015,mRNA surveillance pathway,Genetic Information Processing,Translation,1,82,98,9012,0.593698519,0.745373323,1.121453459,Pabpn1,rno03015
rno03320,PPAR signaling pathway,Organismal Systems,Endocrine system,1,82,86,9012,0.546083481,0.745373323,1.277935337,Angptl4,rno03320
rno04010,MAPK signaling pathway,Environmental Information Processing,Signal transduction,7,82,301,9012,0.019415831,0.166976145,2.555870675,Ntrk2;Rasgrp2;Il1rap;Prkcg;Ereg;Areg;Mapt,rno04010
rno04012,ErbB signaling pathway,Environmental Information Processing,Signal transduction,4,82,85,9012,0.007378391,0.090648806,5.171879484,Nrg1;Prkcg;Ereg;Areg,rno04012
rno04014,Ras signaling pathway,Environmental Information Processing,Signal transduction,3,82,233,9012,0.356311635,0.721007073,1.415052863,Ntrk2;Rasgrp2;Prkcg,rno04014
rno04015,Rap1 signaling pathway,Environmental Information Processing,Signal transduction,4,82,213,9012,0.12877285,0.615248062,2.063895569,Rasgrp2;Itga2b;Prkcg;Itgam,rno04015
rno04020,Calcium signaling pathway,Environmental Information Processing,Signal transduction,3,82,251,9012,0.40104397,0.745373323,1.313574968,Ntrk2;Prkcg;P2rx1,rno04020
rno04024,cAMP signaling pathway,Environmental Information Processing,Signal transduction,1,82,220,9012,0.86943601,0.884869785,0.499556541,Npy,rno04024
rno04060,Cytokine-cytokine receptor interaction,Environmental Information Processing,Signaling molecules and interaction,6,82,270,9012,0.036015756,0.278964813,2.442276423,Il15;Il1rap;Ccl21;Tnfrsf25;Ccl11;Csf2rb,rno04060
rno04061,Viral protein interaction with cytokine and cytokine receptor,Environmental Information Processing,Signaling molecules and interaction,2,82,85,9012,0.180906637,0.698535951,2.585939742,Ccl21;Ccl11,rno04061
rno04062,Chemokine signaling pathway,Organismal Systems,Immune system,3,82,181,9012,0.22743031,0.698535951,1.821587387,Rasgrp2;Ccl21;Ccl11,rno04062
rno04064,NF-kappa B signaling pathway,Environmental Information Processing,Signal transduction,2,82,98,9012,0.224057548,0.698535951,2.242906919,Ptgs2;Ccl21,rno04064
rno04066,HIF-1 signaling pathway,Environmental Information Processing,Signal transduction,1,82,113,9012,0.646330737,0.771296408,0.972587956,Prkcg,rno04066
